Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Search_Result_Page_OR/Result_Number/Result_Number_10""))",Chrome 95.0.4638.54,,,2021-10-28 16:33:40,2021-10-28 16:33:41,0.463s,PASSED
"waitForElementVisible(findTestObject(""Search_Result_Page_OR/Search_Area""), 5)",Chrome 95.0.4638.54,,,2021-10-28 16:33:41,2021-10-28 16:33:45,4.733s,PASSED
"verifyElementText(findTestObject(""Search_Result_Page_OR/Result_summary_section""), ""10"")",Chrome 95.0.4638.54,,,2021-10-28 16:33:45,2021-10-28 16:33:46,0.389s,PASSED
expectedNumber = 10,Chrome 95.0.4638.54,,,2021-10-28 16:33:46,2021-10-28 16:33:46,0.000s,PASSED
"numberofLink = findWebElements(findTestObject(""Object Repository/Search_Result_Page_OR/LinkLocation_on_Search_Result_Page""), 30)",Chrome 95.0.4638.54,,,2021-10-28 16:33:46,2021-10-28 16:33:46,0.369s,PASSED
actualNumber = numberofLink.size(),Chrome 95.0.4638.54,,,2021-10-28 16:33:46,2021-10-28 16:33:46,0.001s,PASSED
"verifyEqual(actualNumber, expectedNumber)",Chrome 95.0.4638.54,,,2021-10-28 16:33:46,2021-10-28 16:33:46,0.013s,PASSED
,,,,,,,
Test Cases/TestCase_4_Search_Functionality/6_Verify_More_Pages,Chrome 95.0.4638.54,,,2021-10-28 16:33:46,2021-10-28 16:34:27,40.718s,PASSED
"callTestCase(findTestCase(""TestCase_1_Login""), [:], STOP_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-28 16:33:46,2021-10-28 16:34:14,27.241s,PASSED
"setText(findTestObject(""Searchbar_OR/Searchbar_position""), ""product manuals"")",Chrome 95.0.4638.54,,,2021-10-28 16:34:14,2021-10-28 16:34:18,4.709s,PASSED
"sendKeys(findTestObject(""Searchbar_OR/Searchbar_position""), Keys.chord(ENTER))",Chrome 95.0.4638.54,,,2021-10-28 16:34:18,2021-10-28 16:34:21,2.074s,PASSED
"waitForElementVisible(findTestObject(""Search_Result_Page_OR/Search_Area""), 5)",Chrome 95.0.4638.54,,,2021-10-28 16:34:21,2021-10-28 16:34:25,4.735s,PASSED
"totalResult = getText(findTestObject(""Object Repository/Search_Result_Page_OR/Total_number_of_results""))",Chrome 95.0.4638.54,,,2021-10-28 16:34:25,2021-10-28 16:34:26,0.391s,PASSED
"resultperPage = getText(findTestObject(""Object Repository/Search_Result_Page_OR/Result_summary_section""))",Chrome 95.0.4638.54,,,2021-10-28 16:34:26,2021-10-28 16:34:26,0.389s,PASSED
if (totalResult > resultperPage),Chrome 95.0.4638.54,,,2021-10-28 16:34:26,2021-10-28 16:34:26,0.382s,PASSED
"verifyElementAttributeValue(findTestObject(""Search_Result_Page_OR/Default_PageNo_location""), ""aria-pressed"", ""true"", 10)",Chrome 95.0.4638.54,,,2021-10-28 16:34:26,2021-10-28 16:34:27,0.416s,PASSED
,,,,,,,
